CAMPAIGN_PERFORMANCE_REPORT (All Time)
Campaign ID,Campaign,Avg. CPE
5638433,ZOLD_TGL12484 [Google paid search] (campaign not set),0
10109123,Catalog Videos,0
10109243,eBay TotalGymOutlet,0
12712943,TotalGymCatalog.com,0
13771043,Cyclotrainer,0
14095703,Chuck Norris,0
14095943,Christie Brinkley,0
14621903,Pilates,0
15191363,Home Gym,0
31608923,ZOLD_Content Network,0
39227153,GS EXERCISE,0
39227423,GS BRAND REVIEWS TGD,0
39227963,GS BRAND REVIEWS TGD (BMM),0
39848153,GS BRAND TGYM HOME,0
40991783,GC Brand Content,0
42026333,GS_Holiday,0
42026423,GS_Brand_Holiday,0
42331793,GS NON-BRAND REVIEWS,0
42391463,GCP TP Fitness,0
42666143,GY You Tube Overlay,0
42669383,GYT Placements,0
42874133,GM BRAND,0
42889613,GM CELEBRITIES,0
42890243,GM REVIEWS TGD,0
42914903,GS COMPETITOR PRODUCTS (E),0
42914993,GS COMPETITOR PRODUCTS (P),0
43240073,GYT Channels,0
43418093,GCP TP Image Ads,0
55814303,GS BRAND (BMM),0
56953103,GPL Product Listings,0
57253823,GC CTP,0
57443423,GC Similar Users Test,0
57484703,GS Pilates,0
70951103,GC ICM Test,0
71157983,GT BRAND (MB),0
71295743,GS Health & Wellness,0
71442743,GYT Categories,0
95603903,GM CELEBRITIES -,0
95604143,GS CELEBRITIES (BMM),0
120919223,GR Similar Users,0
130521983,GS CELEBRITIES RMKT Cart Abandon,0
130522103,GS PRODUCTS RMKT Cart Abandon,0
130523183,GS CELEBRITIES - Broad RMKT Cart Abandon,0
213628583,Campaign #1,0
240561983,Campaign #1,0
240586223,GS BRAND Christy Brinkley,0
241723703,Google|Search|Brand|XLS|Alpha,0
244675223,Campaign #2,0
248075783,Rosalie Challenge,0
248103863,testimonial montage,698190000
248105303,first time users,782840000
248105543,rebecca's testimony,857950000
249492743,Total Gym Cost,0
259342223,GRmktYouTube,0
265960703,GS BRAND Rachael Ray,0
271441343,GS BRAND - Top GEO,0
308801903,GS BRAND Total Gym FLEX,0
350070383,GS NON-BRAND Competitors,0
354622943,Shoppable TrueView,40691081
372781703,Google|Search|Brand|Supreme|Alpha,0
411209663,Google|Search|Brand|GTS|Alpha,0
423048263,Google|Shopping|Brand|GTS,0
450745343,Google|Search|Brand|Chuck Norris|Beta,0
450745583,Google|Search|Brand|General|Beta,0
450745703,Google|Search|Brand|GTS|Beta,0
451940663,Google|Search|NB|Row Trainer|Beta,0
451946423,Google|Shopping|Brand|Row Trainer,0
2331592,American Telecast Corp ADWORDS Aug2003-Oct2003,0
39227243,GS HOME RMKT Cart Abandon,0
39227333,GS COMPETITION,0
39227513,GS BRAND PRODUCTS,0
39227603,GS Brand Broad,0
39227693,Google|Search|Brand|General|Alpha,0
39227783,GS M&E,0
39227873,GS PRODUCTS Broad,0
39228053,GS BRAND CELEBRITIES,0
39849143,GS BRAND TGYM M&E,0
42020393,GC CONTENT CYN,0
42331523,Z_GS Holiday Broad,0
42331613,GS REVIEWS Broad,0
42331703,Z_GS Holiday,0
42666323,GY You Tube,0
42889793,GM PRODUCTS,0
42889973,GM REVIEWS,0
42890063,GM PRODUCTS Broad,0
42890153,GM REVIEWS TGD Broad,0
42890333,GM REVIEWS Broad,0
43405313,GS Brand ES,0
54803783,Google|Display|Remarketing,0
57108863,Z_GC Black Friday,0
57108983,Z_GC Black Friday Images,0
57587063,GS New Years 2011,0
57953063,GS New Moms,0
58208423,GS As Seen On TV,0
59276543,ZGC ICM,0
59328503,GYT Youtube Promoted Videos Search,0
59344823,GS BRAND Total Gym 10,0
64688783,GR Brands,0
65264303,GC Display 2011,0
65848583,GS CELEBRITIES - Christie Test,0
71158103,GT BRAND,0
82336823,GT HOME,0
82336943,GT CELEBRITIES,0
82337063,GT PRODUCTS Broad,0
87601223,GT PRODUCTS,0
87601343,GT CELEBRITIES Broad,0
95604023,GM CELEBRITIES - Broad,0
96319703,GR Social,0
120919343,GS HOME RMKT New Users,0
123271943,GPL Product Listings Mobile,0
123272063,GPL Product Listings Tablet,0
130523303,GS PRODUCTS Broad RMKT Cart Abandon,0
161740583,Google|Search|Brand|Fit|Alpha,0
176917943,GD BRAND,0
209075423,Google Shopping,0
240557783,Google|Search|Brand|Chuck Norris|Alpha,0
240560783,Video,0
241848863,Campaign #1,0
241919063,GS BRAND Workout,0
242504183,GS Brand - Total Gym Core,0
242506823,GS BRAND Total Gym Fit Core,0
244674863,airo,0
245331023,Campaign #3,0
248104943,lynette's testimonial,0
254340143,Black Fri/Cyber Mon,0
255210023,Campaign #1,0
256858823,youtube remarketing,0
260610383,test2,0
270077903,GS NON-BRAND Christy Brinkley,0
270078023,Google|Search|NB|Chuck Norris|Alpha,0
270078143,GS NON-BRAND Rachael Ray,0
271441463,GS Brand - Total Gym Core - Top Geo,0
271468943,GS BRAND (BMM) - Top GEO,0
276439823,Google|Search|NB|Remarketing,0
277089383,GS BRAND Challenge,0
423047543,Google|Shopping|Brand|Fit,0
423048023,Google|Shopping|Brand|XLS,0
423048143,Google|Shopping|Brand|Supreme,0
450745463,Google|Search|Brand|Fit|Beta,0
450745823,Google|Search|Brand|Supreme|Beta,0
450745943,Google|Search|Brand|XLS|Beta,0
450746063,Google|Search|NB|Chuck Norris|Beta,0
451940903,Google|Search|NB|Row Trainer|Alpha,0
Total, --,134718750
